"TIME","AIRLINE","FLIGHT_NUMBER","TRANSACTION","TERMINAL","GATE","REMARK","data_as_of","data_loaded_at"
"2026/02/16 10:06:00 PM","Cathay Pacific","CX893","DEP","I","A10","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/17 10:15:00 AM","JAL","JL58","ARR","I","A2","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 02:41:00 PM","American","AA2177","DEP","1","B24","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 07:34:00 AM","United","UA1260","DEP","3","E12","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/22 11:16:00 AM","United","UA984","ARR","I","G10","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/20 09:22:00 PM","United","UA737","ARR","3","E9","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/20 09:16:00 AM","United","UA5220","DEP","3","F10","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/21 11:15:00 AM","United","UA2647","DEP","3","F22","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/19 05:16:00 PM","United","UA1509","DEP","3","E5","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 11:36:00 AM","United","UA1768","DEP","2","D16","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 09:55:00 PM","Vietnam Airlines","VN99","DEP","I","A2","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/28 08:52:00 AM","United","UA790","ARR","3","E8","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/23 08:25:00 AM","Alaska","AS2479","DEP","1","B7","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/27 01:14:00 PM","United","UA450","DEP","3","E12","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/24 10:53:00 AM","United","UA4678","ARR","3","F6","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/21 07:57:00 AM","Southwest","WN528","DEP","2","D3","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 12:18:00 PM","Air Canada","AC8845","DEP","2","D11","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 01:06:00 PM","AIR FRANCE","AF84","ARR","I","A9","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/28 11:48:00 AM","Air Canada","AC739","ARR","2","D12","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/19 12:45:00 PM","Alaska","AS2493","DEP","1","C1","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/17 11:38:00 PM","DELTA","DL670","DEP","1","C9","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/27 09:39:00 AM","Alaska","AS2076","ARR","1","C1","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/16 05:10:00 PM","United","UA5703","DEP","3","E6","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/23 01:12:00 PM","United","UA1259","DEP","2","D9","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/27 03:58:00 PM","United","UA1668","DEP","2","D5","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 01:58:00 PM","Southwest","WN2172","ARR","2","D4","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/27 07:45:00 AM","Southwest","WN4023","ARR","2","D4","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/21 06:14:00 PM","United","UA5578","ARR","3","E10","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 04:17:00 PM","DELTA","DL1088","ARR","1","C4","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
